id,name,oscar,highest,lowest,birth,place,movie1_title,movie1_tomato,movie1_audience,movie1_release,movie1_director,movie2_title,movie2_tomato,movie2_audience,movie2_release,movie2_director,movie3_title,movie3_tomato,movie3_audience,movie3_release,movie3_director,movie4_title,movie4_tomato,movie4_audience,movie4_release,movie4_director,movie5_title,movie5_tomato,movie5_audience,movie5_release,movie5_director,movie6_title,movie6_tomato,movie6_audience,movie6_release,movie6_director,movie7_title,movie7_tomato,movie7_audience,movie7_release,movie7_director,movie8_title,movie8_tomato,movie8_audience,movie8_release,movie8_director,movie9_title,movie9_tomato,movie9_audience,movie9_release,movie9_director,movie10_title,movie10_tomato,movie10_audience,movie10_release,movie10_director
86,Natalie Portman, Won 1 Oscar., Eating Animals (2017), Planetarium (2016)," Jun 09, 1981"," Jerusalem, Israel", Disneynature: Dolphin Reef,100,91,2020, Keith Scholey, Eating Animals,91,74,2017, Christopher Quinn, Annihilation,88,66,2018, Alex Garland, This Changes Everything,88,100,2018, Tom Donahue, Heat,87,94,1995, Michael Mann, Jackie,87,60,2016, Pablo Larraín, Garden State,86,88,2004, Zach Braff," Paris, je t'aime",86,84,2006, Bruno Podalydès, Black Swan,85,84,2010, Darren Aronofsky, Star Wars: Episode III -- Revenge of the Sith,80,66,2005, George Lucas
87,Sandra Bullock, Won 1 Oscar., Gravity (2013), Speed 2: Cruise Control (1997)," Jul 26, 1964"," Arlington, Virginia, USA", Gravity,95,80,2013, Alfonso Cuarón, Speed,94,76,1994, Jan de Bont, The Prince of Egypt,80,76,1998, Brenda Chapman, While You Were Sleeping,80,79,1995, Jon Turteltaub, Crash,74,88,2004, Paul Haggis, Infamous,74,69,2006, Douglas McGrath, Ocean's 8,69,45,2018, Gary Ross, A Time to Kill,67,85,1996, Joel Schumacher, The Blind Side,66,85,2009, John Lee Hancock, The Heat,66,71,2013, Paul Feig
88,Deborah Kerr, Nominated for 6 Oscars., Black Narcissus (1947), The Arrangement (1969)," Sep 30, 1921"," Helensburgh, Scotland, UK", Black Narcissus,100,88,1947, Michael Powell, The Life and Death of Colonel Blimp,97,91,1943, Michael Powell, The King and I,96,83,1956, Walter Lang, Julius Caesar,95,81,1953, Joseph L. Mankiewicz, The Innocents,95,86,1961, Jack Clayton, Major Barbara,93,55,1941, Gabriel Pascal, From Here to Eternity,92,84,1953, Fred Zinnemann, King Solomon's Mines,92,59,1950, Compton Bennett, Quo Vadis?,88,73,1951, Mervyn LeRoy, The Grass Is Greener,88,64,1960, Stanley Donen
89,Emma Thompson, Won 2 Oscars., Henry V (1989), Dolittle (2020)," Apr 15, 1959"," Paddington, London, England, UK", Henry V,100,89,1989, Kenneth Branagh, Sense and Sensibility,97,90,1995, Ang Lee, Harry Potter and the Deathly Hallows: Part 2,96,89,2011, David Yates, The Remains of the Day,95,89,1993, James Ivory, Howards End,94,82,1992, James Ivory, In the Name of the Father,94,95,1993, Jim Sheridan, An Education,93,80,2009, Lone Scherfig, The Meyerowitz Stories (New and Selected),92,72,2017, Noah Baumbach, King Lear,91,64,2018, Richard Eyre, Harry Potter and the Prisoner of Azkaban,90,86,2004, Alfonso Cuarón
90,Michelle Pfeiffer, Nominated for 3 Oscars., The Fabulous Baker Boys (1989), New Year's Eve (2011)," Apr 29, 1958"," Santa Ana, California, USA", The Fabulous Baker Boys,96,70,1989, Steve Kloves, Avengers: Endgame,94,90,2019, Anthony Russo, Dangerous Liaisons,93,83,1988, Stephen Frears, Hairspray,91,84,2007, Adam Shankman, Married to the Mob,89,48,1988, Jonathan Demme, Ant-Man and The Wasp,87,75,2018, Peyton Reed, The Age of Innocence,84,75,1993, Martin Scorsese, Scarface,82,93,1983, Brian De Palma, Where Is Kyra?,81,52,2017, Andrew Dosunmu, Batman Returns,80,73,1992, Tim Burton
91,Faye Dunaway, Won 1 Oscar., Chinatown (1974), The Arrangement (1969)," Jan 14, 1941"," Bascom, Florida, USA", Chinatown,99,93,1974, Roman Polanski, Little Big Man,96,87,1970, Arthur Penn, Gia,92,82,1998, Michael Cristofer, Network,91,93,1976, Sidney Lumet, Bonnie and Clyde,88,88,1967, Arthur Penn, Arizona Dream,87,86,1992, Emir Kusturica, Three Days of the Condor,87,83,1975, Sydney Pollack, The Three Musketeers,86,78,1973, Richard Lester, Voyage of the Damned,83,53,1976, Stuart Rosenberg, Barfly,77,82,1987, Barbet Schroeder
92,Penélope Cruz, Won 1 Oscar., All About My Mother (1999), Waking Up in Reno (2002)," Apr 28, 1974"," Madrid, Spain", All About My Mother,98,93,1999, Pedro Almodóvar, Pain and Glory,96,91,2019, Pedro Almodóvar, Belle Epoque,95,78,1992, Fernando Trueba, Volver,91,89,2006, Pedro Almodóvar, Woody Allen: A Documentary,90,88,2012, Robert B. Weide, Open Your Eyes,85,88,1997, Alejandro Amenábar, Broken Embraces,82,75,2009, Pedro Almodóvar, Live Flesh,81,87,1997, Pedro Almodóvar, Vicky Cristina Barcelona,81,74,2008, Woody Allen, Everybody Knows,78,60,2018, Asghar Farhadi
93,Nicole Kidman, Won 1 Oscar., Paddington (2014), Grace of Monaco (2014)," Jun 20, 1967"," Honolulu, Hawaii, USA", Paddington,97,80,2014, Paul King, Flirting,96,77,1990, John Duigan, God Grew Tired of Us,91,95,2006, Christopher Quinn, To Die For,88,65,1995, Gus Van Sant, Rabbit Hole,87,72,2010, John Cameron Mitchell, Lion,84,91,2016, Garth Davis, Dead Calm,83,63,1989, Phillip Noyce, The Family Fang,83,47,2015, Jason Bateman, The Others,83,77,2001, Alejandro Amenábar, Boy Erased,80,74,2018, Joel Edgerton
94,Salma Hayek, Nominated for 1 Oscar., Puss in Boots (2011), Drunk Parents (2019)," Sep 02, 1966"," Coatzacoalcos, Mexico", Puss in Boots,86,67,2011, Chris Miller, Tale of Tales,83,56,2015, Matteo Garrone, Sausage Party,82,50,2016, Conrad Vernon, Muppets Most Wanted,80,58,2014, James Bobin, Beatriz at Dinner,75,53,2017, Miguel Arteta, Frida,75,85,2002, Julie Taymor, Mi Vida Loca,73,87,1993, Allison Anders, Timecode,68,48,2000, Mike Figgis, Dogma,67,85,1999, Kevin Smith, Who the Hell Is Juliette?,67,62,1997, Carlos Marcovich
95,Sigourney Weaver, Nominated for 3 Oscars., Alien (1979), Happily N'Ever After (2007)," Oct 08, 1949"," New York, New York, USA", Alien,98,94,1979, Ridley Scott, Ingrid Bergman: In Her Own Words,98,66,2015, Stig Björkman, Aliens,97,94,1986, James Cameron, Ghostbusters,97,88,1984, Ivan Reitman, The Beatles: Eight Days a Week -- The Touring Years,96,89,2016, Ron Howard, Dave,95,72,1993, Ivan Reitman, WALL-E,95,90,2008, Andrew Stanton, Alien: The Director's Cut,94,95,2003, Ridley Scott, Finding Dory,94,84,2016, Andrew Stanton, The Cabin in the Woods,92,74,2011, Drew Goddard
96,Kathy Bates, Won 1 Oscar., Midnight in Paris (2011), You May Not Kiss the Bride (2011)," Jun 28, 1948"," Memphis, Tennessee, USA", Midnight in Paris,93,83,2011, Woody Allen, When Marnie Was There,91,88,2014, Hiromasa Yonebayashi, Misery,90,90,1990, Rob Reiner, Titanic,89,69,1997, James Cameron, About Schmidt,85,74,2002, Alexander Payne, Dolores Claiborne,84,81,1995, Taylor Hackford, Men Don't Leave,81,62,1990, Paul Brickman, Primary Colors,81,64,1998, Mike Nichols," Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",80,81,1982, Robert Altman, Charlotte's Web,78,62,2006, Gary Winick
97,Lucy Liu, Nominated for 1 Primetime Emmy., Tinker Bell and the Lost Treasure (2009), Ballistic: Ecks vs. Sever (2002)," Dec 02, 1968"," Queens, New York, USA", The Tale of the Princess Kaguya,100,90,2013, Isao Takahata, Tinker Bell and the Lost Treasure,100,73,2009, Klay Hall, Set It Up,92,68,2018, Claire Scanlon, QT8: The First Eight,91,92,2019, Tara Wood, Tinker Bell,90,73,2008, Bradley Raymond, Kung Fu Panda,87,83,2008, John Stevenson, Kung Fu Panda 3,87,78,2016, Jennifer Yuh Nelson, Chicago,86,83,2002, Rob Marshall, Kill Bill: Vol. 1,85,81,2003, Quentin Tarantino, Kill Bill: Vol. 2,84,89,2004, Quentin Tarantino
98,Amy Adams, Nominated for 6 Oscars., Catch Me if You Can (2002), Serving Sara (2002)," Aug 20, 1974"," Vicenza, Veneto, Italy", Catch Me if You Can,96,89,2002, Steven Spielberg, The Muppets,95,80,2011, James Bobin, Arrival,94,82,2016, Denis Villeneuve, Her,94,82,2013, Spike Jonze, Enchanted,93,80,2007, Kevin Lima, American Hustle,92,74,2013, David O. Russell, The Fighter,90,89,2010, David O. Russell, Junebug,86,73,2005, Phil Morrison, The Master,84,61,2012, Paul Thomas Anderson, Charlie Wilson's War,82,73,2007, Mike Nichols
99,Jeff Bridges, Won 1 Oscar., Fat City (1972), 8 Million Ways to Die (1986)," Dec 04, 1949"," Los Angeles, California, USA", Dream Big: Engineering Our World,100,64,2017, Greg MacGillivray, Fat City,100,85,1972, John Huston, The Last Picture Show,100,90,1971, Peter Bogdanovich, Hell or High Water,96,88,2016, David Mackenzie, The Fabulous Baker Boys,96,70,1989, Steve Kloves, True Grit,95,85,2010, Joel Coen, Iron Man,94,91,2008, Jon Favreau, Lost in La Mancha,94,77,2002, Keith Fulton, The Little Prince,93,84,2015, Mark Osborne, Bad Company,92,71,1972, Robert Benton
100,Ben Kingsley, Won 1 Oscar., Searching for Bobby Fischer (1993), BloodRayne (2005)," Dec 31, 1943"," Scarborough, Yorkshire, England, UK", Searching for Bobby Fischer,100,86,1993, Steven Zaillian, Schindler's List,97,97,1993, Steven Spielberg, Dave,95,72,1993, Ivan Reitman, The Jungle Book,94,86,2016, Jon Favreau, Hugo,93,78,2011, Martin Scorsese, Spielberg,92,90,2017, Susan Lacy, Transsiberian,91,65,2008, Brad Anderson, Maurice,89,87,1987, James Ivory, The Desert of Forbidden Art,89,88,2010, Tchavdar Georgiev, Betrayal,87,77,1983, David Jones
101,Tommy Lee Jones, Won 1 Oscar., The Fugitive (1993), Nate and Hayes (1983)," Sep 15, 1946"," San Saba, Texas, USA", The Fugitive,96,89,1993, Andrew Davis, No Country for Old Men,93,86,2007, Joel Coen, Men in Black,92,79,1997, Barry Sonnenfeld, Lincoln,89,81,2012, Steven Spielberg, Coal Miner's Daughter,86,86,1980, Michael Apted, Rolling Thunder,86,78,1977, John Flynn, The Three Burials of Melquiades Estrada,85,81,2005, Tommy Lee Jones, JFK,84,88,1991, Oliver Stone, Ad Astra,83,40,2019, James Gray, A Prairie Home Companion,81,59,2006, Robert Altman
102,Robert Redford, Won 1 Oscar., National Parks Adventure (2016), Love in the Time of Money (2002)," Aug 18, 1936"," Santa Monica, California, USA", Incident at Oglala,100,84,1992, Michael Apted, Momentum Generation,100,100,2018, Jeff Zimbalist, National Parks Adventure,100,52,2016, Greg MacGillivray, Planet Earth: One Amazing Day,100,84,2017, Richard Dale, Public Trust,100,Not Available,2020, David Garrett Byars, Jane Fonda in Five Acts,97,91,2018, Susan Lacy, Quiz Show,96,87,1994, Robert Redford, Be Natural: The Untold Story of Alice Guy-Blaché,95,97,2018, Pamela B. Green, Jeremiah Johnson,95,89,1972, Sydney Pollack, The Mustang,95,74,2019, Laure de Clermont-Tonnerre
103,Jack Lemmon, Won 2 Oscars., Days of Wine and Roses (1962), Getting Away With Murder (1996)," Feb 08, 1925"," Newton, Massachusetts, USA", Days of Wine and Roses,100,89,1962, Blake Edwards, It Should Happen to You,100,76,1954, George Cukor, The Odd Couple,97,89,1968, Gene Saks, The Fortune Cookie,96,80,1966, Billy Wilder, Glengarry Glen Ross,95,88,1992, James Foley, Hamlet,95,90,1996, Kenneth Branagh, Short Cuts,95,88,1993, Robert Altman, Some Like It Hot,95,94,1959, Billy Wilder, Missing,94,85,1982, Costa-Gavras, The Apartment,93,94,1960, Billy Wilder
104,Christopher Plummer, Won 1 Oscar., The Fall of the Roman Empire (1964), The Forger (2014)," Dec 13, 1929"," Toronto, Ontario, Canada", The Fall of the Roman Empire,100,68,1964, Anthony Mann, Up,98,90,2009, Pete Docter, Knives Out,97,92,2019, Rian Johnson, The Man Who Would Be King,97,90,1975, John Huston, The Insider,96,90,1999, Michael Mann, My Dog Tulip,90,69,2009, Paul Fierlinger, 12 Monkeys,89,88,1995, Terry Gilliam, The Girl With the Dragon Tattoo,87,86,2011, David Fincher, Inside Man,86,85,2006, Spike Lee, Beginners,85,77,2010, Mike Mills
105,George C. Scott, Won 1 Oscar., The Hospital (1971), Gloria (1999)," Oct 18, 1927"," Wise, Virginia, USA", Anatomy of a Murder,100,90,1959, Otto Preminger, The Hospital,100,74,1971, Arthur Hiller, Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,98,94,1964, Stanley Kubrick, The Hustler,98,93,1961, Robert Rossen, Patton,94,93,1970, Franklin J. Schaffner, 12 Angry Men,92,87,1997, William Friedkin, Islands in the Stream,88,63,1977, Franklin Schaffner, Petulia,86,81,1968, Richard Lester, The Changeling,83,79,1980, Peter Medak, The Hanging Tree,83,72,1959, Delmer Daves
106,Joaquin Phoenix, Won 1 Oscar., Gunda (2020), Russkies (1987)," Oct 28, 1974"," San Juan, Puerto Rico", Gunda,98,Not Available,2020, Victor Kossakovsky, Her,94,82,2013, Spike Jonze, Hotel Rwanda,91,94,2004, Terry George, Parenthood,91,76,1989, Ron Howard, You Were Never Really Here,89,64,2017, Lynne Ramsay, To Die For,88,65,1995, Gus Van Sant, The Sisters Brothers,86,68,2018, Jacques Audiard, The Immigrant,85,60,2013, James Gray, The Master,84,61,2012, Paul Thomas Anderson, Two Lovers,82,59,2008, James Gray
107,Christopher Walken, Won 1 Oscar., Catch Me if You Can (2002), Gigli (2003)," Mar 31, 1943"," Astoria, Queens, New York City, New York, USA", Annie Hall,96,92,1977, Woody Allen, Catch Me if You Can,96,89,2002, Steven Spielberg, The Jungle Book,94,86,2016, Jon Favreau, True Romance,93,93,1993, Tony Scott, Antz,92,52,1998, Eric Darnell, Pulp Fiction,92,96,1994, Quentin Tarantino, The Deer Hunter,92,92,1978, Michael Cimino, Hairspray,91,84,2007, Adam Shankman, Percy Vs Goliath,89,Not Available,2020, Clark Johnson, The Dead Zone,89,76,1983, David Cronenberg
108,Philip Seymour Hoffman, Won 1 Oscar., Mary and Max (2009), My Boyfriend's Back (1993)," Jul 23, 1967"," Fairport, New York, USA", Mary and Max,95,92,2009, Adam Elliot, Moneyball,94,86,2011, Bennett Miller, Boogie Nights,93,89,1997, Paul Thomas Anderson, Nobody's Fool,91,81,1994, Robert Benton, The Hunger Games: Catching Fire,90,89,2013, Francis Lawrence, The Savages,90,75,2007, Tamara Jenkins, Almost Famous,89,92,2000, Cameron Crowe, Capote,89,82,2005, Bennett Miller, Scent of a Woman,89,92,1992, Martin Brest, Before the Devil Knows You're Dead,88,71,2007, Sidney Lumet
109,George Clooney, Won 2 Oscars., Fail Safe (2000), Return of the Killer Tomatoes (1988)," May 06, 1961"," Lexington, Kentucky, USA", Fail Safe,100,79,2000, Stephen Frears, Argo,96,90,2012, Ben Affleck, Gravity,95,80,2013, Alfonso Cuarón, Three Kings,94,77,1999, David O. Russell, Fantastic Mr. Fox,93,85,2009, Wes Anderson," Good Night, and Good Luck.",93,83,2005, George Clooney, Out of Sight,93,74,1998, Steven Soderbergh, Insomnia,92,77,2002, Christopher Nolan, Michael Clayton,91,69,2007, Tony Gilroy, Up in the Air,90,79,2009, Jason Reitman
110,Gene Hackman, Won 2 Oscars., I Never Sang for My Father (1970), Loose Cannons (1990)," Jan 30, 1930"," San Bernardino, California, USA", I Never Sang for My Father,100,81,1970, Gilbert Cates, The French Connection,98,87,1971, William Friedkin, The Conversation,96,90,1974, Francis Ford Coppola, Unforgiven,96,93,1992, Clint Eastwood, Superman: The Movie,94,86,1978, Richard Donner, Young Frankenstein,94,92,1974, Mel Brooks, Antz,92,52,1998, Eric Darnell, No Way Out,91,72,1987, Roger Donaldson, Under Fire,90,69,1983, Roger Spottiswoode, Hoosiers,89,88,1986, David Anspaugh
111,Bruce Willis, Won 1 Golden Globe., Die Hard (1988), 10 Minutes Gone (2019)," Mar 19, 1955"," Idar-Oberstein, West Germany", Die Hard,94,94,1988, John McTiernan, Looper,93,82,2012, Rian Johnson, Moonrise Kingdom,93,86,2012, Wes Anderson, Pulp Fiction,92,96,1994, Quentin Tarantino, Nobody's Fool,91,81,1994, Robert Benton, 12 Monkeys,89,88,1995, Terry Gilliam, BB King: The Life of Riley,86,85,2014, Jon Brewer, The Sixth Sense,86,90,1999, M. Night Shyamalan, Grindhouse,84,87,2007, Quentin Tarantino, The LEGO Movie 2: The Second Part,84,68,2019, Mike Mitchell
112,Sean Connery, Won 1 Oscar., Darby O'Gill and the Little People (1959), Highlander II: The Quickening (1991)," Aug 25, 1930"," Edinburgh, Scotland, UK", Darby O'Gill and the Little People,100,77,1959, Robert Stevenson, Goldfinger,99,89,1964, Guy Hamilton, The Man Who Would Be King,97,90,1975, John Huston, Dr. No,95,82,1962, Terence Young, From Russia With Love,95,84,1963, Terence Young, Murder on the Orient Express,90,79,1974, Sidney Lumet, The Molly Maguires,90,62,1970, Martin Ritt, Time Bandits,90,77,1981, Terry Gilliam, The Hunt for Red October,89,88,1990, John McTiernan, The Red Tent,89,66,1971, Mikhail Kalatozov
113,Ian McKellen, Nominated for 2 Oscars., And the Band Played On (1993), Doogal (2006)," May 25, 1939"," Burnley, Lancashire, England, UK", And the Band Played On,100,88,1993, Roger Spottiswoode, McKellen: Playing the Part,100,80,2017, Joe Stephenson, The Dresser,100,60,2015, Richard Eyre, Gods and Monsters,95,83,1998, Bill Condon, The Lord of the Rings: The Two Towers,95,95,2002, Peter Jackson, Richard III,94,85,1995, Richard Loncraine, The Lord of the Rings: The Return of the King,93,86,2003, Peter Jackson, Scandal,91,59,1989, Michael Caton-Jones, The Lord of the Rings: The Fellowship of the Ring,91,95,2001, Peter Jackson, X-Men: Days of Future Past,90,91,2014, Bryan Singer
114,Russell Crowe, Won 1 Oscar., L.A. Confidential (1997), Winter's Tale (2014)," Apr 07, 1964"," Wellington, North Island, New Zealand", L.A. Confidential,99,94,1997, Curtis Hanson, The Insider,96,90,1999, Michael Mann, Proof,94,80,1991, Jocelyn Moorhouse, The Nice Guys,91,79,2016, Shane Black, 3:10 to Yuma,89,86,2007, James Mangold, Red Obsession,86,70,2013, Warwick Ross, Master and Commander: The Far Side of the World,85,80,2003, Peter Weir, State of Play,84,73,2009, Kevin Macdonald, David Stratton: A Cinematic Life,83,Not Available,2017, Sally Aitken, American Gangster,81,85,2007, Ridley Scott
115,Bill Murray, Nominated for 1 Oscar., Ghostbusters (1984), Passion Play (2010)," Sep 21, 1950"," Evanston, Illinois, USA", Ghostbusters,97,88,1984, Ivan Reitman, Groundhog Day,96,88,1993, Harold Ramis, Lost in Translation,95,85,2003, Sofia Coppola, The Jungle Book,94,86,2016, Jon Favreau, Fantastic Mr. Fox,93,85,2009, Wes Anderson, Moonrise Kingdom,93,86,2012, Wes Anderson, Ed Wood,92,88,1994, Tim Burton, The Grand Budapest Hotel,92,86,2014, Wes Anderson, Isle of Dogs,90,87,2018, Wes Anderson, Little Shop of Horrors,90,79,1986, Frank Oz
116,Nicolas Cage, Won 1 Oscar., Spider-Man: Into the Spider-Verse (2018), Grand Isle (2019)," Jan 07, 1964"," Long Beach, California, USA", Spider-Man: Into the Spider-Verse,97,93,2018, Bob Persichetti, Red Rock West,95,75,1993, John Dahl, Moonstruck,94,81,1987, Norman Jewison, Face/Off,92,82,1997, John Woo, Adaptation,91,85,2002, Spike Jonze, Leaving Las Vegas,91,85,1995, Mike Figgis, Raising Arizona,91,85,1987, Joel Coen, Teen Titans GO! to the Movies,91,71,2018, Peter Rida Michail, Mandy,90,66,2018, Panos Cosmatos, Bad Lieutenant: Port of Call New Orleans,86,57,2009, Werner Herzog
117,Joe Pesci, Won 1 Oscar., A Bronx Tale (1993), The Super (1991)," Feb 09, 1943"," Newark, New Jersey, USA", A Bronx Tale,97,93,1993, Robert De Niro, Goodfellas,96,97,1990, Martin Scorsese, The Irishman,95,86,2019, Martin Scorsese, Raging Bull,93,93,1980, Martin Scorsese, Once Upon a Time in America,87,93,1984, Sergio Leone, My Cousin Vinny,86,87,1992, Jonathan Lynn, JFK,84,88,1991, Oliver Stone, Lethal Weapon 2,82,77,1989, Richard Donner, Casino,80,93,1995, Martin Scorsese, Home Alone,67,80,1990, Chris Columbus
118,Brad Pitt, Won 2 Oscars., Big Men (2013), Cool World (1992)," Dec 18, 1963"," Shawnee, Oklahoma, USA", Big Men,100,79,2013, Rachel Boynton, Selma,99,86,2014, Ava DuVernay, Minari,98,88,2020, Lee Isaac Chung, Moonlight,98,79,2016, Barry Jenkins, 12 Years a Slave,95,90,2013, Steve McQueen, If Beale Street Could Talk,95,71,2018, Barry Jenkins, Moneyball,94,86,2011, Bennett Miller, The Normal Heart,94,88,2014, Ryan Murphy, True Romance,93,93,1993, Tony Scott, The Last Black Man in San Francisco,92,84,2019, Joe Talbot
119,Kevin Costner, Won 2 Oscars., Bull Durham (1988), Dragonfly (2002)," Jan 18, 1955"," Lynwood, California, USA", Bull Durham,97,82,1988, Ron Shelton, Hidden Figures,93,93,2016, Theodore Melfi, Night Shift,92,63,1982, Ron Howard, No Way Out,91,72,1987, Roger Donaldson, Fastball,90,79,2015, Jonathan Hock, Field of Dreams,87,86,1989, Phil Alden Robinson, Regarding Susan Sontag,86,59,2014, Nancy D. Kates, JFK,84,88,1991, Oliver Stone, Dances With Wolves,83,87,1990, Kevin Costner, Let Him Go,83,76,2020, Thomas Bezucha
120,Donald Sutherland, Won 2 Golden Globes., Dinosaurs: Giants of Patagonia (2007), Benefit of the Doubt (1993)," Jul 17, 1935"," Saint John, New Brunswick, Canada", Dinosaurs: Giants of Patagonia,100,52,2007, Marc Fafard, Dr. Terror's House of Horrors,100,62,1965, Freddie Francis, Path to War,100,73,2002, John Frankenheimer, Don't Look Now,95,76,1973, Nicolas Roeg, Invasion of the Body Snatchers,93,82,1978, Philip Kaufman, Klute,93,80,1971, Alan J. Pakula, Panic,91,62,2000, Henry Bromell, National Lampoon's Animal House,90,89,1978, John Landis, The Hunger Games: Catching Fire,90,89,2013, Francis Lawrence, Ordinary People,89,88,1980, Robert Redford
121,Clint Eastwood, Won 4 Oscars., A Personal Journey With Martin Scorsese Through American Movies (1995), Revenge of the Creature (1955)," May 31, 1930"," San Francisco, California, USA", A Personal Journey With Martin Scorsese Through American Movies,100,95,1995, Martin Scorsese, A Fistful of Dollars,98,91,1964, Sergio Leone," The Good, the Bad and the Ugly",97,97,1967, Sergio Leone, Escape From Alcatraz,96,85,1979, Don Siegel, In the Line of Fire,96,79,1993, Wolfgang Petersen, Unforgiven,96,93,1992, Clint Eastwood, Coogan's Bluff,94,50,1968, Don Siegel, Milius,94,87,2013, Joey Figueroa, Tarantula,94,50,1955, Jack Arnold, High Plains Drifter,93,86,1973, Clint Eastwood
122,Michael Douglas, Won 2 Oscars., One Day in September (1999), Flatliners (2017)," Sep 25, 1944"," New Brunswick, New Jersey, USA", One Day in September,97,92,1999, Kevin Macdonald, Behind the Candelabra,94,71,2013, Steven Soderbergh, One Flew Over the Cuckoo's Nest,94,96,1975, Milos Forman, Face/Off,92,82,1997, John Woo, Traffic,92,85,2000, Steven Soderbergh, Show Me the Picture: The Story of Jim Marshall,91,100,2019, Alfred George Bailey, The American President,91,77,1995, Rob Reiner, Tell Them Who You Are,88,66,2004, Mark Wexler, Ant-Man and The Wasp,87,75,2018, Peyton Reed, We Have Always Lived in the Castle,87,76,2018, Stacie Passon
123,Robert Downey Jr., Nominated for 2 Oscars., True Believer (1989), Johnny Be Good (1988)," Apr 04, 1965"," Manhattan, New York City, New York, USA", Short Cuts,95,88,1993, Robert Altman, True Believer,95,63,1989, Joseph Ruben, Avengers: Endgame,94,90,2019, Anthony Russo, Iron Man,94,91,2008, Jon Favreau, Richard III,94,85,1995, Richard Loncraine," Good Night, and Good Luck.",93,83,2005, George Clooney, Spider-Man: Homecoming,92,87,2017, Jon Watts, Marvel's the Avengers,91,91,2012, Joss Whedon, Captain America: Civil War,90,89,2016, Anthony Russo, Zodiac,89,77,2007, David Fincher
124,Ava Gardner, Nominated for 1 Oscar., The Barefoot Contessa (1954), The Cassandra Crossing (1977)," Dec 24, 1922"," Brogden, North Carolina, USA", Bhowani Junction,100,62,1956, George Cukor, The Barefoot Contessa,100,72,1954, Joseph L. Mankiewicz, The Killers,100,89,1946, Robert Siodmak, Two Girls and a Sailor,100,84,1944, Richard Thorpe, Seven Days in May,91,89,1964, John Frankenheimer, The Snows of Kilimanjaro,83,54,1952, Henry King, Show Boat,82,71,1951, George Sidney, The Life and Times of Judge Roy Bean,80,75,1972, John Huston, Mogambo,77,55,1953, John Ford, On the Beach,77,69,1959, Stanley Kramer
125,Sally Field, Won 2 Oscars., Norma Rae (1979), Beyond the Poseidon Adventure (1979)," Nov 06, 1946"," Pasadena, California, USA", Lincoln,89,81,2012, Steven Spielberg, Norma Rae,89,79,1979, Martin Ritt, Places in the Heart,89,83,1984, Robert Benton, The Desert of Forbidden Art,89,88,2010, Tchavdar Georgiev, Homeward Bound: The Incredible Journey,87,71,1993, Duwayne Dunham," Hello, My Name Is Doris",85,76,2015, Michael Showalter, Absence of Malice,81,63,1981, Sydney Pollack, Smokey and the Bandit,80,85,1977, Hal Needham, Murphy's Romance,73,75,1985, Martin Ritt, The Amazing Spider-Man,72,77,2012, Marc Webb
126,Doris Day, Nominated for 1 Oscar., On Moonlight Bay (1951), Caprice (1967)," Apr 03, 1922"," Cincinnati, Ohio, USA", On Moonlight Bay,100,80,1951, Roy Del Ruth, Pillow Talk,93,87,1959, Michael Gordon, Lover Come Back,91,77,1961, Delbert Mann, Romance on the High Seas,88,60,1948, Michael Curtiz, The Thrill of It All,88,73,1963, Norman Jewison, The Man Who Knew Too Much,87,84,1956, Alfred Hitchcock, Teacher's Pet,86,71,1958, George Seaton, Young at Heart,86,79,1954, Gordon Douglas, The Pajama Game,85,64,1957, George Abbott, Midnight Lace,83,75,1960, David Miller
127,Shirley MacLaine, Won 1 Oscar.," Sammy Davis, Jr.: I've Gotta Be Me (2017)", Wild Oats (2016)," Apr 24, 1934"," Richmond, Virginia, USA"," Sammy Davis, Jr.: I've Gotta Be Me",100,Not Available,2017, Samuel D. Pollard, Defending Your Life,97,83,1991, Albert Brooks, Being There,95,92,1979, Hal Ashby, The Apartment,93,94,1960, Billy Wilder, Bernie,88,73,2011, Richard Linklater, The Trouble With Harry,87,73,1955, Alfred Hitchcock, Postcards From the Edge,84,66,1990, Mike Nichols, Some Came Running,83,76,1958, Vincente Minnelli, Sweet Charity,83,73,1969, Bob Fosse, Artists and Models,78,76,1955, Frank Tashlin
128,Holly Hunter, Won 1 Oscar., Broadcast News (1987), Animal Behavior (1989)," Mar 20, 1958"," Conyers, Georgia, USA", Broadcast News,98,79,1987, James L. Brooks, The Big Sick,98,88,2017, Michael Showalter, The Incredibles,97,75,2004, Brad Bird, Incredibles 2,93,84,2018, Brad Bird, Raising Arizona,91,85,1987, Joel Coen, The Piano,90,86,1993, Jane Campion, The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,90,50,1993, Michael Ritchie, Swing Shift,87,41,1984, Jonathan Demme, Thirteen,81,77,2003, Catherine Hardwicke, Jesus' Son,80,83,1999, Alison Maclean
